kapacitet,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
400,12000000,11520000,11040000,10560000,10080000,9600000,9120000,8640000,8160000,7680000,7200000,6720000,6240000,5760000,5280000,4800000,4560000,4320000,4080000,3840000,3600000,3360000,3120000,2880000,2640000,2400000
800,24000000,23040000,22080000,21120000,20160000,19200000,18240000,17280000,16320000,15360000,14400000,13440000,12480000,11520000,10560000,9600000,9120000,8640000,8160000,7680000,7200000,6720000,6240000,5760000,5280000,4800000
1000,30000000,28800000,27600000,26400000,25200000,24000000,22800000,21600000,20400000,19200000,18000000,16800000,15600000,14400000,13200000,12000000,11400000,10800000,10200000,9600000,9000000,8400000,7800000,7200000,6600000,6000000
1200,36000000,34560000,33120000,31680000,30240000,28800000,27360000,25920000,24480000,23040000,21600000,20160000,18720000,17280000,15840000,14400000,13680000,12960000,12240000,11520000,10800000,10080000,9360000,8640000,7920000,7200000
1600,48000000,46080000,44160000,42240000,40320000,38400000,36480000,34560000,32640000,30720000,28800000,26880000,24960000,23040000,21120000,19200000,18240000,17280000,16320000,15360000,14400000,13440000,12480000,11520000,10560000,9600000
2000,60000000,57600000,55200000,52800000,50400000,48000000,45600000,43200000,40800000,38400000,36000000,33600000,31200000,28800000,26400000,24000000,22800000,21600000,20400000,19200000,18000000,16800000,15600000,14400000,13200000,12000000
2500,75000000,72000000,69000000,66000000,63000000,60000000,57000000,54000000,51000000,48000000,45000000,42000000,39000000,36000000,33000000,30000000,28500000,27000000,25500000,24000000,22500000,21000000,19500000,18000000,16500000,15000000
3000,90000000,86400000,82800000,79200000,75600000,72000000,68400000,64800000,61200000,57600000,54000000,50400000,46800000,43200000,39600000,36000000,34200000,32400000,30600000,28800000,27000000,25200000,23400000,21600000,19800000,18000000
3500,105000000,100800000,96600000,92400000,88200000,84000000,79800000,75600000,71400000,67200000,63000000,58800000,54600000,50400000,46200000,42000000,39900000,37800000,35700000,33600000,31500000,29400000,27300000,25200000,23100000,21000000
4000,120000000,115200000,110400000,105600000,100800000,96000000,91200000,86400000,81600000,76800000,72000000,67200000,62400000,57600000,52800000,48000000,45600000,43200000,40800000,38400000,36000000,33600000,31200000,28800000,26400000,24000000
4500,135000000,129600000,124200000,118800000,113400000,108000000,102600000,97200000,91800000,86400000,81000000,75600000,70200000,64800000,59400000,54000000,51300000,48600000,45900000,43200000,40500000,37800000,35100000,32400000,29700000,27000000
5100,153000000,146880000,140760000,134640000,128520000,122400000,116280000,110160000,104040000,97920000,91800000,85680000,79560000,73440000,67320000,61200000,58140000,55080000,52020000,48960000,45900000,42840000,39780000,36720000,33660000,30600000
